Optimization Algorithm: Original NSGA-III
Population Size: 100, Maximum Generations: 200
Crossover Probability: 0.9, Mutation Probability: 0.1, ALO Probability: 0.3
Using OBL Initialization: Yes

=== Optimization Log ===
Generation 28: {'gen': 28, 'evals': 200, 'avg': array([-3.78184353e+07, -3.68924198e+07,  8.50000000e+17]), 'std': array([9.02090788e+07, 8.79678590e+07, 3.57071421e+17]), 'min': array([-2.73828532e+08, -2.69910443e+08,  8.98667134e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 29: {'gen': 29, 'evals': 200, 'avg': array([-4.37617719e+07, -4.32806936e+07,  8.20000000e+17]), 'std': array([9.36003107e+07, 9.25261300e+07, 3.84187454e+17]), 'min': array([-2.62155700e+08, -2.63655469e+08,  9.02977673e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 30: {'gen': 30, 'evals': 200, 'avg': array([-3.47643424e+07, -3.37812473e+07,  8.60000000e+17]), 'std': array([8.63159840e+07, 8.40307392e+07, 3.46987031e+17]), 'min': array([-2.66866395e+08, -2.64273105e+08,  9.11546738e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 31: {'gen': 31, 'evals': 200, 'avg': array([-3.07596756e+07, -2.91378193e+07,  8.80000000e+17]), 'std': array([8.33844568e+07, 7.90951610e+07, 3.24961536e+17]), 'min': array([-2.73659537e+08, -2.61594221e+08,  9.15668579e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 32: {'gen': 32, 'evals': 200, 'avg': array([-3.81174267e+07, -3.76801555e+07,  8.50000000e+17]), 'std': array([9.08254408e+07, 8.97497058e+07, 3.57071421e+17]), 'min': array([-2.70052267e+08, -2.65379282e+08,  9.29124810e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 33: {'gen': 33, 'evals': 200, 'avg': array([-7.32699336e+07, -7.54909346e+07,  7.00000000e+17]), 'std': array([1.12277582e+08, 1.15593175e+08, 4.58257569e+17]), 'min': array([-2.65570051e+08, -2.69400948e+08,  9.15234259e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 34: {'gen': 34, 'evals': 200, 'avg': array([-7.33112147e+07, -7.42808698e+07,  7.10000000e+17]), 'std': array([1.14913294e+08, 1.16368852e+08, 4.53762052e+17]), 'min': array([-2.70434010e+08, -2.74672445e+08,  9.14750637e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 35: {'gen': 35, 'evals': 200, 'avg': array([-6.12177017e+07, -6.04622522e+07,  7.60000000e+17]), 'std': array([1.09095640e+08, 1.07856596e+08, 4.27083130e+17]), 'min': array([-2.70576325e+08, -2.77095196e+08,  9.14384645e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 36: {'gen': 36, 'evals': 200, 'avg': array([-4.34307214e+07, -4.26670815e+07,  8.30000000e+17]), 'std': array([9.61218906e+07, 9.46628772e+07, 3.75632799e+17]), 'min': array([-2.70522379e+08, -2.67773881e+08,  9.14441896e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 37: {'gen': 37, 'evals': 200, 'avg': array([-4.28370659e+07, -4.37733053e+07,  8.30000000e+17]), 'std': array([9.48342669e+07, 9.67743033e+07, 3.75632799e+17]), 'min': array([-2.70547847e+08, -2.70091149e+08,  9.14754466e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 38: {'gen': 38, 'evals': 200, 'avg': array([-3.06622708e+07, -3.06010272e+07,  8.80000000e+17]), 'std': array([8.30805573e+07, 8.28982356e+07, 3.24961536e+17]), 'min': array([-2.70581205e+08, -2.70836067e+08,  9.14696501e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 39: {'gen': 39, 'evals': 200, 'avg': array([-1.98497862e+07, -1.98567759e+07,  9.20000000e+17]), 'std': array([6.74371848e+07, 6.74481974e+07, 2.71293199e+17]), 'min': array([-2.67817476e+08, -2.65391248e+08,  9.28974789e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 40: {'gen': 40, 'evals': 200, 'avg': array([-1.65763026e+07, -1.74948259e+07,  9.30000000e+17]), 'std': array([6.07387919e+07, 6.37961038e+07, 2.55147016e+17]), 'min': array([-2.64563172e+08, -2.62352903e+08,  9.31587317e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 41: {'gen': 41, 'evals': 200, 'avg': array([-2.23135623e+07, -2.25356391e+07,  9.10000000e+17]), 'std': array([7.10909546e+07, 7.17363016e+07, 2.86181760e+17]), 'min': array([-2.62601693e+08, -2.64570233e+08,  9.31473186e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 42: {'gen': 42, 'evals': 200, 'avg': array([-2.72897891e+07, -2.77579954e+07,  8.90000000e+17]), 'std': array([7.77629011e+07, 7.90195266e+07, 3.12889757e+17]), 'min': array([-2.62568104e+08, -2.67433533e+08,  9.31008047e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 43: {'gen': 43, 'evals': 200, 'avg': array([-3.02646574e+07, -2.87203382e+07,  8.80000000e+17]), 'std': array([8.20270192e+07, 7.80577308e+07, 3.24961536e+17]), 'min': array([-2.63916224e+08, -2.61807370e+08,  9.40176199e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 44: {'gen': 44, 'evals': 200, 'avg': array([-1.52978477e+07, -1.46615325e+07,  9.40000000e+17]), 'std': array([6.05934482e+07, 5.81662182e+07, 2.37486842e+17]), 'min': array([-2.67913374e+08, -2.68012290e+08,  9.28003690e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 45: {'gen': 45, 'evals': 200, 'avg': array([-3.16052281e+07, -3.12064666e+07,  8.70000000e+17]), 'std': array([8.19021238e+07, 8.10296564e+07, 3.36303434e+17]), 'min': array([-2.69171997e+08, -2.66883829e+08,  9.32619294e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 46: {'gen': 46, 'evals': 200, 'avg': array([-4.50562943e+07, -4.45852525e+07,  8.10000000e+17]), 'std': array([9.34314998e+07, 9.23997165e+07, 3.92300905e+17]), 'min': array([-2.59340922e+08, -2.63211200e+08,  9.27699629e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 47: {'gen': 47, 'evals': 200, 'avg': array([-2.92966417e+07, -2.85831019e+07,  8.80000000e+17]), 'std': array([7.94025625e+07, 7.76622083e+07, 3.24961536e+17]), 'min': array([-2.58735147e+08, -2.62156348e+08,  9.31563610e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 48: {'gen': 48, 'evals': 200, 'avg': array([-5.60380985e+07, -5.55233707e+07,  7.70000000e+17]), 'std': array([1.02654226e+08, 1.01773435e+08, 4.20832508e+17]), 'min': array([-2.61068244e+08, -2.65837130e+08,  9.17614282e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 49: {'gen': 49, 'evals': 200, 'avg': array([-3.97962834e+07, -4.22168425e+07,  8.30000000e+17]), 'std': array([8.80882819e+07, 9.33691537e+07, 3.75632799e+17]), 'min': array([-2.69016094e+08, -2.60173088e+08,  9.32278203e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 50: {'gen': 50, 'evals': 200, 'avg': array([-5.77982346e+07, -5.98284230e+07,  7.60000000e+17]), 'std': array([1.02990192e+08, 1.06558025e+08, 4.27083130e+17]), 'min': array([-2.63737757e+08, -2.65572134e+08,  9.27590400e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 51: {'gen': 51, 'evals': 200, 'avg': array([-4.41737113e+07, -4.50118797e+07,  8.20000000e+17]), 'std': array([9.44532327e+07, 9.61334881e+07, 3.84187454e+17]), 'min': array([-2.69226061e+08, -2.64899856e+08,  9.30351334e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 52: {'gen': 52, 'evals': 200, 'avg': array([-3.46866572e+07, -3.45036073e+07,  8.60000000e+17]), 'std': array([8.61103296e+07, 8.57618580e+07, 3.46987031e+17]), 'min': array([-2.68725888e+08, -2.63905865e+08,  9.18512720e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 53: {'gen': 53, 'evals': 200, 'avg': array([-4.25998423e+07, -4.20008963e+07,  8.30000000e+17]), 'std': array([9.42681143e+07, 9.30829718e+07, 3.75632799e+17]), 'min': array([-2.69891830e+08, -2.64282330e+08,  9.16891748e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 54: {'gen': 54, 'evals': 200, 'avg': array([-2.79399780e+07, -2.79135075e+07,  8.90000000e+17]), 'std': array([7.95915662e+07, 7.94348792e+07, 3.12889757e+17]), 'min': array([-2.69530042e+08, -2.64653083e+08,  9.21351345e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 55: {'gen': 55, 'evals': 200, 'avg': array([-3.46573150e+07, -3.49498145e+07,  8.60000000e+17]), 'std': array([8.60786876e+07, 8.67377895e+07, 3.46987031e+17]), 'min': array([-2.66373477e+08, -2.67608469e+08,  9.16883485e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 56: {'gen': 56, 'evals': 200, 'avg': array([-4.52494799e+07, -4.49223045e+07,  8.20000000e+17]), 'std': array([9.67098615e+07, 9.61277416e+07, 3.84187454e+17]), 'min': array([-2.72044775e+08, -2.64698370e+08,  9.12158291e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
