优化算法: 改进NSGA-III
种群大小: 100, 最大代数: 200
交叉概率: 0.9, 变异概率: 0.1, ALO概率: 0.3
使用OBL初始化: 是

=== 优化日志 ===
代数 44: {'gen': 44, 'evals': 220, 'avg': array([-6.11315249e+07, -5.92882769e+07,  7.60000000e+17]), 'std': array([1.09049173e+08, 1.06187942e+08, 4.27083130e+17]), 'min': array([-2.78207056e+08, -2.77755636e+08,  9.07125884e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 45: {'gen': 45, 'evals': 200, 'avg': array([-6.26072899e+07, -6.02875743e+07,  7.60000000e+17]), 'std': array([1.11673319e+08, 1.07568365e+08, 4.27083130e+17]), 'min': array([-2.75104846e+08, -2.81096342e+08,  9.05837592e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 46: {'gen': 46, 'evals': 200, 'avg': array([-6.92469821e+07, -7.00021930e+07,  7.30000000e+17]), 'std': array([1.14167095e+08, 1.15403820e+08, 4.43959458e+17]), 'min': array([-2.77239104e+08, -2.77256396e+08,  9.04782310e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 47: {'gen': 47, 'evals': 200, 'avg': array([-5.05392051e+07, -4.93694411e+07,  8.00000000e+17]), 'std': array([1.01747681e+08, 9.90375402e+07, 4.00000000e+17]), 'min': array([-2.77042175e+08, -2.77313543e+08,  9.04497564e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 48: {'gen': 48, 'evals': 200, 'avg': array([-5.44990663e+07, -5.20219517e+07,  7.90000000e+17]), 'std': array([1.05919272e+08, 1.01581124e+08, 4.07308237e+17]), 'min': array([-2.76466412e+08, -2.78768768e+08,  8.95044356e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 49: {'gen': 49, 'evals': 200, 'avg': array([-6.19058036e+07, -5.96261930e+07,  7.60000000e+17]), 'std': array([1.10822475e+08, 1.06642699e+08, 4.27083130e+17]), 'min': array([-2.77052153e+08, -2.76826196e+08,  9.00426493e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 50: {'gen': 50, 'evals': 220, 'avg': array([-7.34624652e+07, -7.04522710e+07,  7.20000000e+17]), 'std': array([1.18075339e+08, 1.13167290e+08, 4.48998886e+17]), 'min': array([-2.78047507e+08, -2.76076803e+08,  9.00936672e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 51: {'gen': 51, 'evals': 220, 'avg': array([-5.07731623e+07, -5.44675542e+07,  7.90000000e+17]), 'std': array([9.93429088e+07, 1.05938293e+08, 4.07308237e+17]), 'min': array([-2.80218671e+08, -2.75210940e+08,  9.00617066e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 52: {'gen': 52, 'evals': 200, 'avg': array([-5.08967234e+07, -4.96565256e+07,  8.00000000e+17]), 'std': array([1.02264487e+08, 9.97384448e+07, 4.00000000e+17]), 'min': array([-2.78536122e+08, -2.83352660e+08,  8.98027291e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 53: {'gen': 53, 'evals': 200, 'avg': array([-5.56202765e+07, -5.49630605e+07,  7.80000000e+17]), 'std': array([1.05312761e+08, 1.03716621e+08, 4.14246304e+17]), 'min': array([-2.76383669e+08, -2.81098589e+08,  9.02284107e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 54: {'gen': 54, 'evals': 200, 'avg': array([-3.96349247e+07, -4.03986910e+07,  8.40000000e+17]), 'std': array([9.14466097e+07, 9.28458245e+07, 3.66606056e+17]), 'min': array([-2.80960572e+08, -2.73152408e+08,  9.00694122e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 55: {'gen': 55, 'evals': 200, 'avg': array([-4.14611104e+07, -4.06082625e+07,  8.40000000e+17]), 'std': array([9.54023742e+07, 9.33381580e+07, 3.66606056e+17]), 'min': array([-2.81445973e+08, -2.78959362e+08,  9.01460361e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 56: {'gen': 56, 'evals': 200, 'avg': array([-3.66499093e+07, -3.52981187e+07,  8.60000000e+17]), 'std': array([9.09641497e+07, 8.76702515e+07, 3.46987031e+17]), 'min': array([-2.78228624e+08, -2.77253411e+08,  9.01326522e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
