优化算法: 改进NSGA-III
种群大小: 100, 最大代数: 200
交叉概率: 0.9, 变异概率: 0.1, ALO概率: 0.3
使用OBL初始化: 是

=== 优化日志 ===
代数 163: {'gen': 163, 'evals': 200, 'avg': array([-3.82312035e+07, -3.62650172e+07,  8.60000000e+17]), 'std': array([9.47969740e+07, 9.00505940e+07, 3.46987031e+17]), 'min': array([-2.84875145e+08, -2.83008097e+08,  9.48941117e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 164: {'gen': 164, 'evals': 220, 'avg': array([-6.27832057e+07, -5.77814017e+07,  7.70000000e+17]), 'std': array([1.15116675e+08, 1.06313304e+08, 4.20832508e+17]), 'min': array([-2.84767110e+08, -2.82496769e+08,  9.48944124e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 165: {'gen': 165, 'evals': 220, 'avg': array([-5.76003628e+07, -5.18434643e+07,  7.90000000e+17]), 'std': array([1.11901348e+08, 1.01290439e+08, 4.07308237e+17]), 'min': array([-2.84937524e+08, -2.75200378e+08,  9.47768927e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 166: {'gen': 166, 'evals': 200, 'avg': array([-4.78592894e+07, -4.06950334e+07,  8.30000000e+17]), 'std': array([1.05788401e+08, 9.03851262e+07, 3.75632799e+17]), 'min': array([-2.84914458e+08, -2.74915229e+08,  9.47520402e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 167: {'gen': 167, 'evals': 220, 'avg': array([-3.39112953e+07, -2.82966703e+07,  8.80000000e+17]), 'std': array([9.18579311e+07, 7.69728151e+07, 3.24961536e+17]), 'min': array([-2.84962007e+08, -2.70090708e+08,  9.46221668e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 168: {'gen': 168, 'evals': 200, 'avg': array([-2.68778875e+07, -2.45392640e+07,  9.00000000e+17]), 'std': array([8.08527739e+07, 7.40253289e+07, 3.00000000e+17]), 'min': array([-2.84926656e+08, -2.74325680e+08,  9.45622308e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 169: {'gen': 169, 'evals': 200, 'avg': array([-4.00204403e+07, -3.55202709e+07,  8.50000000e+17]), 'std': array([9.56406901e+07, 8.52611444e+07, 3.57071421e+17]), 'min': array([-2.84937949e+08, -2.72258246e+08,  9.45659757e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 170: {'gen': 170, 'evals': 220, 'avg': array([-3.49728266e+07, -3.32568663e+07,  8.70000000e+17]), 'std': array([9.07501695e+07, 8.61453939e+07, 3.36303434e+17]), 'min': array([-2.85006876e+08, -2.71998131e+08,  9.45663470e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 171: {'gen': 171, 'evals': 220, 'avg': array([-3.61206820e+07, -3.31780235e+07,  8.70000000e+17]), 'std': array([9.34904549e+07, 8.59010001e+07, 3.36303434e+17]), 'min': array([-2.84959539e+08, -2.70507839e+08,  9.44886832e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 172: {'gen': 172, 'evals': 200, 'avg': array([-3.29323965e+07, -3.01561991e+07,  8.80000000e+17]), 'std': array([8.94937729e+07, 8.17950873e+07, 3.24961536e+17]), 'min': array([-2.85044183e+08, -2.69385004e+08,  9.44045964e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 173: {'gen': 173, 'evals': 220, 'avg': array([-3.31456530e+07, -2.94666936e+07,  8.80000000e+17]), 'std': array([8.98969759e+07, 8.01463403e+07, 3.24961536e+17]), 'min': array([-2.85151398e+08, -2.70727586e+08,  9.44364844e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 174: {'gen': 174, 'evals': 200, 'avg': array([-2.45890979e+07, -2.33247998e+07,  9.10000000e+17]), 'std': array([7.83091485e+07, 7.42266589e+07, 2.86181760e+17]), 'min': array([-2.85086647e+08, -2.74683789e+08,  9.44174235e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 175: {'gen': 175, 'evals': 200, 'avg': array([-5.22191680e+07, -4.89567593e+07,  8.10000000e+17]), 'std': array([1.08010118e+08, 1.01203918e+08, 3.92300905e+17]), 'min': array([-2.85101451e+08, -2.76184075e+08,  9.44177100e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 176: {'gen': 176, 'evals': 200, 'avg': array([-6.32766901e+07, -5.98857970e+07,  7.60000000e+17]), 'std': array([1.13500876e+08, 1.06782175e+08, 4.27083130e+17]), 'min': array([-2.85121633e+08, -2.74487954e+08,  9.44058903e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 177: {'gen': 177, 'evals': 200, 'avg': array([-4.82848192e+07, -4.50081144e+07,  8.20000000e+17]), 'std': array([1.03658798e+08, 9.61643013e+07, 3.84187454e+17]), 'min': array([-2.85194060e+08, -2.69716581e+08,  9.44087479e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 178: {'gen': 178, 'evals': 200, 'avg': array([-5.34772284e+07, -5.10692699e+07,  7.90000000e+17]), 'std': array([1.04543354e+08, 9.94569648e+07, 4.07308237e+17]), 'min': array([-2.85250655e+08, -2.74097281e+08,  9.42912399e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 179: {'gen': 179, 'evals': 220, 'avg': array([-5.93127362e+07, -5.69794864e+07,  7.80000000e+17]), 'std': array([1.12009999e+08, 1.07416678e+08, 4.14246304e+17]), 'min': array([-2.85394079e+08, -2.71778300e+08,  9.41900319e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 180: {'gen': 180, 'evals': 220, 'avg': array([-4.73269409e+07, -4.35136125e+07,  8.30000000e+17]), 'std': array([1.04674251e+08, 9.62665078e+07, 3.75632799e+17]), 'min': array([-2.85302063e+08, -2.69585651e+08,  9.42569192e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 181: {'gen': 181, 'evals': 200, 'avg': array([-4.94350160e+07, -4.55813277e+07,  8.20000000e+17]), 'std': array([1.05722791e+08, 9.73629945e+07, 3.84187454e+17]), 'min': array([-2.85342512e+08, -2.64694463e+08,  9.41900310e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 182: {'gen': 182, 'evals': 200, 'avg': array([-2.77971588e+07, -2.56754165e+07,  9.00000000e+17]), 'std': array([8.34880017e+07, 7.70839517e+07, 3.00000000e+17]), 'min': array([-2.85302279e+08, -2.70970594e+08,  9.42677805e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 183: {'gen': 183, 'evals': 200, 'avg': array([-3.39384402e+07, -2.97883624e+07,  8.80000000e+17]), 'std': array([9.19135166e+07, 8.06904334e+07, 3.24961536e+17]), 'min': array([-2.85423508e+08, -2.59754128e+08,  9.42155789e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 184: {'gen': 184, 'evals': 200, 'avg': array([-3.11677008e+07, -2.76093873e+07,  8.90000000e+17]), 'std': array([8.86585319e+07, 7.85747320e+07, 3.12889757e+17]), 'min': array([-2.85432534e+08, -2.63000655e+08,  9.42143758e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 185: {'gen': 185, 'evals': 200, 'avg': array([-2.83558163e+07, -2.54382390e+07,  9.00000000e+17]), 'std': array([8.50697437e+07, 7.63324141e+07, 3.00000000e+17]), 'min': array([-2.85202456e+08, -2.63266663e+08,  9.42349199e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 186: {'gen': 186, 'evals': 220, 'avg': array([-3.36631805e+07, -2.97805223e+07,  8.80000000e+17]), 'std': array([9.12406711e+07, 8.07477355e+07, 3.24961536e+17]), 'min': array([-2.85398868e+08, -2.64216101e+08,  9.42351817e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 187: {'gen': 187, 'evals': 200, 'avg': array([-3.37611202e+07, -3.00200512e+07,  8.80000000e+17]), 'std': array([9.14932288e+07, 8.13418610e+07, 3.24961536e+17]), 'min': array([-2.85403794e+08, -2.62338613e+08,  9.42356947e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 188: {'gen': 188, 'evals': 220, 'avg': array([-2.27115333e+07, -2.00656092e+07,  9.20000000e+17]), 'std': array([7.70244032e+07, 6.80708450e+07, 2.71293199e+17]), 'min': array([-2.85492314e+08, -2.64511824e+08,  9.44904464e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 189: {'gen': 189, 'evals': 200, 'avg': array([-2.56264502e+07, -2.19647117e+07,  9.10000000e+17]), 'std': array([8.14877553e+07, 6.98727642e+07, 2.86181760e+17]), 'min': array([-2.85488925e+08, -2.57985664e+08,  9.44946171e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 190: {'gen': 190, 'evals': 220, 'avg': array([-4.27016783e+07, -3.60276159e+07,  8.50000000e+17]), 'std': array([1.01651064e+08, 8.58341191e+07, 3.57071421e+17]), 'min': array([-2.85474159e+08, -2.54247027e+08,  9.45072581e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 191: {'gen': 191, 'evals': 220, 'avg': array([-5.41033575e+07, -4.45848830e+07,  8.10000000e+17]), 'std': array([1.11710084e+08, 9.22002822e+07, 3.92300905e+17]), 'min': array([-2.85446370e+08, -2.57107642e+08,  9.44778376e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 192: {'gen': 192, 'evals': 200, 'avg': array([-3.70387930e+07, -3.15675992e+07,  8.70000000e+17]), 'std': array([9.58179175e+07, 8.17447250e+07, 3.36303434e+17]), 'min': array([-2.85484897e+08, -2.55917432e+08,  9.44779199e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 193: {'gen': 193, 'evals': 200, 'avg': array([-4.27535242e+07, -3.65926685e+07,  8.50000000e+17]), 'std': array([1.01774025e+08, 8.71262865e+07, 3.57071421e+17]), 'min': array([-2.85520370e+08, -2.54287646e+08,  9.44780229e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 194: {'gen': 194, 'evals': 200, 'avg': array([-4.56450457e+07, -3.87391718e+07,  8.40000000e+17]), 'std': array([1.04586031e+08, 8.87958138e+07, 3.66606056e+17]), 'min': array([-2.85576416e+08, -2.52372362e+08,  9.44742318e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 195: {'gen': 195, 'evals': 200, 'avg': array([-4.28100220e+07, -3.61879841e+07,  8.50000000e+17]), 'std': array([1.01908277e+08, 8.61535489e+07, 3.57071421e+17]), 'min': array([-2.85596900e+08, -2.48986288e+08,  9.44514364e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 196: {'gen': 196, 'evals': 200, 'avg': array([-4.56493436e+07, -3.82101013e+07,  8.40000000e+17]), 'std': array([1.04595819e+08, 8.75723306e+07, 3.66606056e+17]), 'min': array([-2.85575705e+08, -2.45016677e+08,  9.44744917e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 197: {'gen': 197, 'evals': 200, 'avg': array([-5.11883978e+07, -4.39675568e+07,  8.20000000e+17]), 'std': array([1.09259824e+08, 9.39144105e+07, 3.84187454e+17]), 'min': array([-2.85599965e+08, -2.63379358e+08,  9.44649988e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 198: {'gen': 198, 'evals': 200, 'avg': array([-1.05344268e+08, -8.99885041e+07,  6.30000000e+17]), 'std': array([1.37465456e+08, 1.17513546e+08, 4.82804308e+17]), 'min': array([-2.85598118e+08, -2.62454454e+08,  9.44650462e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 199: {'gen': 199, 'evals': 220, 'avg': array([-1.42255057e+08, -1.22068565e+08,  5.00000000e+17]), 'std': array([1.42260619e+08, 1.22203474e+08, 5.00000000e+17]), 'min': array([-2.85710361e+08, -2.62219460e+08,  9.44694803e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 200: {'gen': 200, 'evals': 220, 'avg': array([-1.42310859e+08, -1.22161353e+08,  5.00000000e+17]), 'std': array([1.42315803e+08, 1.22278507e+08, 5.00000000e+17]), 'min': array([-2.85710361e+08, -2.62219460e+08,  9.44696030e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
